,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-09-24,23.037049581784313,23.037049581784313,23.037049581784313,0.08649609324592068,0.08649609324592068,0.08649609324592068,-0.4205944048055687,-0.4205944048055687,-0.4205944048055687,23.712087785392956,21.785794358945406,25.800136439838358
1,2014-09-25,23.043373241911013,23.043373241911013,23.043373241911013,0.02653688990537792,0.02653688990537792,0.02653688990537792,-0.4640932029360535,-0.4640932029360535,-0.4640932029360535,23.614953444048627,21.67404673874916,25.727385089899947
2,2014-09-26,23.049696902037713,23.049696902037713,23.049696902037713,0.03664699166180348,0.03664699166180348,0.03664699166180348,-0.512052942908423,-0.512052942908423,-0.512052942908423,23.583427465959385,21.450335069782465,25.54356864919288
3,2014-09-29,23.068667882417813,23.068667882417813,23.068667882417813,0.010419238468791397,0.010419238468791397,0.010419238468791397,-0.6809627270665447,-0.6809627270665447,-0.6809627270665447,23.40726090898835,21.388547354444473,25.415122752136
4,2014-09-30,23.074991542544513,23.074991542544513,23.074991542544513,0.0921849857768882,0.0921849857768882,0.0921849857768882,-0.7445645869270153,-0.7445645869270153,-0.7445645869270153,23.431748456562676,21.382433367085053,25.369791412018905
5,2014-10-01,23.081315202671213,23.081315202671213,23.081315202671213,0.08649609324590044,0.08649609324590044,0.08649609324590044,-0.8110643640769151,-0.8110643640769151,-0.8110643640769151,23.36588344700849,21.285081266716833,25.363851708368028
6,2014-10-02,23.087638862797913,23.087638862797913,23.087638862797913,0.02653688990537214,0.02653688990537214,0.02653688990537214,-0.8798827077548024,-0.8798827077548024,-0.8798827077548024,23.243429560116773,21.228357323770926,25.110746231839
7,2014-10-03,23.093962522924613,23.093962522924613,23.093962522924613,0.03664699166172831,0.03664699166172831,0.03664699166172831,-0.950364573949255,-0.950364573949255,-0.950364573949255,23.18938145580538,21.249917463760664,25.223160144296678
8,2014-10-06,23.112933503304717,23.112933503304717,23.112933503304717,0.010419238468621205,0.010419238468621205,0.010419238468621205,-1.164326105371939,-1.164326105371939,-1.164326105371939,22.96816315156969,21.043638681220525,25.0587874682302
9,2014-10-07,23.119257163431417,23.11925716343142,23.11925716343142,0.09218498577699107,0.09218498577699107,0.09218498577699107,-1.2337814540238385,-1.2337814540238385,-1.2337814540238385,22.986797210352858,21.146129038057886,25.034059008859987
10,2014-10-08,23.125580823558117,23.125580823558117,23.125580823558117,0.08649609324589032,0.08649609324589032,0.08649609324589032,-1.3008956927657498,-1.3008956927657498,-1.3008956927657498,22.92031773920655,20.96611874251395,24.90596743435723
11,2014-10-09,23.131904483684817,23.131904483684817,23.131904483684817,0.026536889905366342,0.026536889905366342,0.026536889905366342,-1.3648229734501482,-1.3648229734501482,-1.3648229734501482,22.802754915308324,20.800376751282748,24.81148303623948
12,2014-10-10,23.138228143811517,23.138228143811517,23.138228143811517,0.03664699166169531,0.03664699166169531,0.03664699166169531,-1.424739964313991,-1.424739964313991,-1.424739964313991,22.759271686327512,20.698390293039218,24.687625454294768
13,2014-10-13,23.157199124191617,23.157199124191617,23.157199124191617,0.010419238468778722,0.010419238468778722,0.010419238468778722,-1.5728725175481806,-1.5728725175481806,-1.5728725175481806,23.296420251324683,21.227375514647154,25.128411672593252
14,2014-10-14,23.163522784318317,23.163522784318317,23.163522784318317,0.09218498577696443,0.09218498577696443,0.09218498577696443,-1.6095226448921802,-1.6095226448921802,-1.6095226448921802,22.65532164037139,20.496120647529196,24.55557461696158
15,2014-10-15,23.169846444445017,23.169846444445017,23.169846444445017,0.08649609324588017,0.08649609324588017,0.08649609324588017,-1.6389272723828119,-1.6389272723828119,-1.6389272723828119,22.626551780476376,20.572366894905883,24.663960370660828
