,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,1939.7441463565922,1939.7441463565922,1939.7441463565922,-7.329501269325815,-7.329501269325815,-7.329501269325815,92.9589441485989,92.9589441485989,92.9589441485989,1922.7873179535386,1850.5215311839163,1990.26452164905
1,2014-07-15,1941.4602474202934,1941.4602474202934,1941.4602474202934,-3.9577464229372565,-3.9577464229372565,-3.9577464229372565,96.1486272769078,96.1486272769078,96.1486272769078,1931.0648569919372,1862.7531521814171,1994.8010112453549
2,2014-07-16,1943.176348483995,1943.176348483995,1943.176348483995,-4.158358798916351,-4.158358798916351,-4.158358798916351,99.13677222446654,99.13677222446654,99.13677222446654,1935.5684906272186,1867.5438840360353,2004.2874344100765
3,2014-07-17,1944.8924495476963,1944.8924495476963,1944.8924495476963,-5.312065951840707,-5.312065951840707,-5.312065951840707,101.88497797861412,101.88497797861412,101.88497797861412,1938.879090292143,1874.9162187914403,2008.6335474992047
4,2014-07-18,1946.6085506113977,1946.6085506113977,1946.6085506113977,-4.888892732463221,-4.888892732463221,-4.888892732463221,104.35952379380801,104.35952379380801,104.35952379380801,1943.4929103904158,1883.6115250510377,2009.4443309568796
5,2014-07-21,1951.7568538025018,1951.756853802502,1951.756853802502,-7.329501269325754,-7.329501269325754,-7.329501269325754,109.88657380423422,109.88657380423422,109.88657380423422,1951.7276550550837,1888.1388850709131,2018.98940661485
6,2014-07-22,1953.4729548662035,1953.4729548662035,1953.4729548662035,-3.957746422931401,-3.957746422931401,-3.957746422931401,111.04215867269056,111.04215867269056,111.04215867269056,1957.971095833636,1891.8494611015542,2024.6932651965126
7,2014-07-23,1955.1890559299047,1955.1890559299047,1955.1890559299047,-4.158358798912245,-4.158358798912245,-4.158358798912245,111.84290390576137,111.84290390576137,111.84290390576137,1960.2873297544272,1895.2226359647732,2023.1278342322087
8,2014-07-24,1956.905156993606,1956.905156993606,1956.905156993606,-5.312065951847981,-5.312065951847981,-5.312065951847981,112.29139979881523,112.29139979881523,112.29139979881523,1961.2982195582465,1897.3186808815826,2024.8879714526684
9,2014-07-25,1958.6212580573074,1958.6212580573074,1958.6212580573074,-4.88889273246677,-4.88889273246677,-4.88889273246677,112.39624168541891,112.39624168541891,112.39624168541891,1963.5423357279328,1895.997770257702,2027.803550702575
10,2014-07-28,1963.7695612484115,1963.7695612484115,1963.7695612484115,-7.329501269312781,-7.329501269312781,-7.329501269312781,110.81549405893152,110.81549405893152,110.81549405893152,1964.6692827557035,1900.0408668786754,2029.8630107243425
11,2014-07-29,1965.485662312113,1965.485662312113,1965.485662312113,-3.9577464229394375,-3.9577464229394375,-3.9577464229394375,109.73507298844483,109.73507298844483,109.73507298844483,1968.6767175952916,1904.1666380556576,2032.8790357897735
12,2014-07-30,1967.2017633758144,1967.2017633758144,1967.2017633758144,-4.1583587989169,-4.1583587989169,-4.1583587989169,108.42585532937397,108.42585532937397,108.42585532937397,1968.8829886239448,1896.4339364799685,2037.598398984146
13,2014-07-31,1968.9178644395158,1968.9178644395158,1968.9178644395158,-5.312065951855255,-5.312065951855255,-5.312065951855255,106.92022263908639,106.92022263908639,106.92022263908639,1967.9397498444202,1899.3004736840717,2038.31964581739
14,2014-08-01,1970.633965503217,1970.633965503217,1970.633965503217,-4.888892732470318,-4.888892732470318,-4.888892732470318,105.25177232056684,105.25177232056684,105.25177232056684,1968.4105738089868,1898.435505455865,2044.2074696071672
15,2014-08-04,1975.7822686943211,1975.7822686943211,1975.7822686943211,-7.329501269324328,-7.329501269324328,-7.329501269324328,99.60600027416628,99.60600027416628,99.60600027416628,1965.4724964168363,1899.5817432133483,2032.095596598836
16,2014-08-05,1977.4983697580226,1977.4983697580226,1977.4983697580226,-3.957746422937145,-3.957746422937145,-3.957746422937145,97.61738767635357,97.61738767635357,97.61738767635357,1968.5717397291123,1899.232545537096,2036.40790903781
17,2014-08-06,1979.2144708217238,1979.2144708217238,1979.2144708217238,-4.158358798911181,-4.158358798911181,-4.158358798911181,95.62366507514972,95.62366507514972,95.62366507514972,1968.0935058156356,1898.7027546731588,2037.2965560336722
