,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2014-07-28,194729.58971742482,185638.46257189728,202284.00470827316,194729.58971742482,194729.58971742482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-595.5431082856041,-595.5431082856041,-595.5431082856041,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-225.3679120453597,-225.3679120453597,-225.3679120453597,701.0692529981909,701.0692529981909,701.0692529981909,0.0,0.0,0.0,194134.04660913922
11,2014-07-29,194911.87465297623,186648.10266588855,203552.06521799992,194911.87465297623,194911.87465297623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.092868151866,-89.092868151866,-89.092868151866,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,30.895861669065923,30.895861669065923,30.895861669065923,951.2557194175035,951.2557194175035,951.2557194175035,0.0,0.0,0.0,194822.78178482436
12,2014-07-30,195094.15958852766,186750.92043323448,204331.2712263278,195094.15958852766,195094.15958852766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.06568872546174,244.06568872546174,244.06568872546174,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,112.71918752945622,112.71918752945622,112.71918752945622,1202.590950434441,1202.590950434441,1202.590950434441,0.0,0.0,0.0,195338.22527725314
13,2014-07-31,195276.44452407907,186420.91495641682,204537.86277794398,195276.44452407907,195276.44452407907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.8783264361621,369.8783264361621,369.8783264361621,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,-13.481069694512563,-13.481069694512563,-13.481069694512563,1454.6038453691103,1454.6038453691103,1454.6038453691103,0.0,0.0,0.0,195646.32285051522
14,2014-08-01,195458.72945963047,187083.2653236095,204534.50741481257,195458.72945963047,195458.72945963047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.87790815775725,462.87790815775725,462.87790815775725,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-172.576972777157,-172.576972777157,-172.576972777157,1706.6993301733498,1706.6993301733498,1706.6993301733498,0.0,0.0,0.0,195921.60736778824
15,2014-08-04,196005.5842662847,188649.96795684012,204976.07250720242,196005.5842662847,196005.5842662847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.928032015275,1158.928032015275,1158.928032015275,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-225.36791204550727,-225.36791204550727,-225.36791204550727,2455.5403932992176,2455.5403932992176,2455.5403932992176,0.0,0.0,0.0,197164.5122983
16,2014-08-05,196187.86920183615,188735.3152775657,206618.31658669913,196187.86920183615,196187.86920183615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.010678224801,1659.010678224801,1659.010678224801,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,30.895861669243413,30.895861669243413,30.895861669243413,2699.3592657939926,2699.3592657939926,2699.3592657939926,0.0,0.0,0.0,197846.87988006094
17,2014-08-06,196370.15413738755,189936.47224825327,206998.96451655607,196370.15413738755,196370.15413738755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.7867696237915,1979.7867696237915,1979.7867696237915,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,112.71918752958885,112.71918752958885,112.71918752958885,2938.3120313326376,2938.3120313326376,2938.3120313326376,0.0,0.0,0.0,198349.94090701133
18,2014-08-07,196552.43907293899,190261.07928057978,207480.36109017287,196552.43907293899,196552.43907293899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.330828689347,2086.330828689347,2086.330828689347,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-13.481069694499837,-13.481069694499837,-13.481069694499837,3171.0563476222824,3171.0563476222824,3171.0563476222824,0.0,0.0,0.0,198638.76990162834
19,2014-08-08,196734.7240084904,190352.07874156005,208413.00668089103,196734.7240084904,196734.7240084904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.347446821543,2152.347446821543,2152.347446821543,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-172.57697277687018,-172.57697277687018,-172.57697277687018,3396.1688688368486,3396.1688688368486,3396.1688688368486,0.0,0.0,0.0,198887.07145531193
20,2014-08-11,197281.5788151446,191175.26052795377,208955.5478782641,197281.5788151446,197281.5788151446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2714.2021677576968,2714.2021677576968,2714.2021677576968,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-225.36791204565478,-225.36791204565478,-225.36791204565478,4010.8145290417874,4010.8145290417874,4010.8145290417874,0.0,0.0,0.0,199995.7809829023
21,2014-08-12,197463.86375069604,191652.36644321933,208967.1137156241,197463.86375069604,197463.86375069604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150.1427229807055,3150.1427229807055,3150.1427229807055,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,30.89586166957417,30.89586166957417,30.89586166957417,4190.491310549567,4190.491310549567,4190.491310549567,0.0,0.0,0.0,200614.00647367674
22,2014-08-13,197646.14868624747,192910.39874756316,209709.10247623638,197646.14868624747,197646.14868624747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3396.668917637243,3396.668917637243,3396.668917637243,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,112.71918752952995,112.71918752952995,112.71918752952995,4355.194179346148,4355.194179346148,4355.194179346148,0.0,0.0,0.0,201042.8176038847
